查询润泽园区的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001"", ""name"": ""润泽园区"", ""parent_id"": ""9999_9999_9999_9999"", ""report"": 1, ""life"": 1}"
查询润泽园区A1数据中心M1模组二层电池室A的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M001_F002_R005"", ""name"": ""润泽园区A1数据中心M1模组二层电池室A"", ""parent_id"": ""P001_A001_M001_F002"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M1模组二层电池室B的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M001_F002_R006"", ""name"": ""润泽园区A1数据中心M1模组二层电池室B"", ""parent_id"": ""P001_A001_M001_F002"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M1模组二层203机房的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M001_F002_R009"", ""name"": ""润泽园区A1数据中心M1模组二层203机房"", ""parent_id"": ""P001_A001_M001_F002"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M1模组二层电力室C的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M001_F002_R012"", ""name"": ""润泽园区A1数据中心M1模组二层电力室C"", ""parent_id"": ""P001_A001_M001_F002"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M1模组三层的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M001_F003"", ""name"": ""润泽园区A1数据中心M1模组三层"", ""parent_id"": ""P001_A001_M001"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M1模组三层301机房的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M001_F003_R001"", ""name"": ""润泽园区A1数据中心M1模组三层301机房"", ""parent_id"": ""P001_A001_M001_F003"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M1模组三层302机房的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M001_F003_R002"", ""name"": ""润泽园区A1数据中心M1模组三层302机房"", ""parent_id"": ""P001_A001_M001_F003"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M1模组三层电力室A的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M001_F003_R003"", ""name"": ""润泽园区A1数据中心M1模组三层电力室A"", ""parent_id"": ""P001_A001_M001_F003"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M1模组三层电力室B的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M001_F003_R004"", ""name"": ""润泽园区A1数据中心M1模组三层电力室B"", ""parent_id"": ""P001_A001_M001_F003"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M1模组三层电池室A的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M001_F003_R005"", ""name"": ""润泽园区A1数据中心M1模组三层电池室A"", ""parent_id"": ""P001_A001_M001_F003"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M1模组三层电池室B的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M001_F003_R006"", ""name"": ""润泽园区A1数据中心M1模组三层电池室B"", ""parent_id"": ""P001_A001_M001_F003"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M1模组四层的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M001_F004"", ""name"": ""润泽园区A1数据中心M1模组四层"", ""parent_id"": ""P001_A001_M001"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M1模组四层401机房的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M001_F004_R001"", ""name"": ""润泽园区A1数据中心M1模组四层401机房"", ""parent_id"": ""P001_A001_M001_F004"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M1模组四层402机房的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M001_F004_R002"", ""name"": ""润泽园区A1数据中心M1模组四层402机房"", ""parent_id"": ""P001_A001_M001_F004"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M1模组四层电力室A的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M001_F004_R003"", ""name"": ""润泽园区A1数据中心M1模组四层电力室A"", ""parent_id"": ""P001_A001_M001_F004"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M1模组四层电力室B的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M001_F004_R004"", ""name"": ""润泽园区A1数据中心M1模组四层电力室B"", ""parent_id"": ""P001_A001_M001_F004"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M1模组四层电池室A的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M001_F004_R005"", ""name"": ""润泽园区A1数据中心M1模组四层电池室A"", ""parent_id"": ""P001_A001_M001_F004"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M1模组四层电池室B的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M001_F004_R006"", ""name"": ""润泽园区A1数据中心M1模组四层电池室B"", ""parent_id"": ""P001_A001_M001_F004"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M1模组四层403机房的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M001_F004_R009"", ""name"": ""润泽园区A1数据中心M1模组四层403机房"", ""parent_id"": ""P001_A001_M001_F004"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M1楼顶的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M001_F005"", ""name"": ""润泽园区A1数据中心M1楼顶"", ""parent_id"": ""P001_A001_M001"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M1楼顶冷塔控制室的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M001_F005_R001"", ""name"": ""润泽园区A1数据中心M1楼顶冷塔控制室"", ""parent_id"": ""P001_A001_M001_F005"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2模组的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002"", ""name"": ""润泽园区A1数据中心M2模组"", ""parent_id"": ""P001_A001"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2模组一层的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F001"", ""name"": ""润泽园区A1数据中心M2模组一层"", ""parent_id"": ""P001_A001_M002"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2模组一层101机房的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F001_R001"", ""name"": ""润泽园区A1数据中心M2模组一层101机房"", ""parent_id"": ""P001_A001_M002_F001"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2模组一层变配电室A的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F001_R002"", ""name"": ""润泽园区A1数据中心M2模组一层变配电室A"", ""parent_id"": ""P001_A001_M002_F001"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2模组一层变配电室B的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F001_R003"", ""name"": ""润泽园区A1数据中心M2模组一层变配电室B"", ""parent_id"": ""P001_A001_M002_F001"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2模组一层机房UPS电池室的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F001_R004"", ""name"": ""润泽园区A1数据中心M2模组一层机房UPS电池室"", ""parent_id"": ""P001_A001_M002_F001"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2模组一层动力UPS电源室的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F001_R005"", ""name"": ""润泽园区A1数据中心M2模组一层动力UPS电源室"", ""parent_id"": ""P001_A001_M002_F001"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2模组一层冷冻站A的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F001_R006"", ""name"": ""润泽园区A1数据中心M2模组一层冷冻站A"", ""parent_id"": ""P001_A001_M002_F001"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2模组一层冷冻站B的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F001_R009"", ""name"": ""润泽园区A1数据中心M2模组一层冷冻站B"", ""parent_id"": ""P001_A001_M002_F001"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2模组二层的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F002"", ""name"": ""润泽园区A1数据中心M2模组二层"", ""parent_id"": ""P001_A001_M002"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2模组二层201机房的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F002_R001"", ""name"": ""润泽园区A1数据中心M2模组二层201机房"", ""parent_id"": ""P001_A001_M002_F002"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2模组二层202机房的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F002_R002"", ""name"": ""润泽园区A1数据中心M2模组二层202机房"", ""parent_id"": ""P001_A001_M002_F002"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2模组二层电力室A的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F002_R003"", ""name"": ""润泽园区A1数据中心M2模组二层电力室A"", ""parent_id"": ""P001_A001_M002_F002"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2模组二层电力室B的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F002_R004"", ""name"": ""润泽园区A1数据中心M2模组二层电力室B"", ""parent_id"": ""P001_A001_M002_F002"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2模组二层电池室A的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F002_R005"", ""name"": ""润泽园区A1数据中心M2模组二层电池室A"", ""parent_id"": ""P001_A001_M002_F002"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2模组二层电池室B的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F002_R006"", ""name"": ""润泽园区A1数据中心M2模组二层电池室B"", ""parent_id"": ""P001_A001_M002_F002"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2模组二层预留机房的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F002_R009"", ""name"": ""润泽园区A1数据中心M2模组二层预留机房"", ""parent_id"": ""P001_A001_M002_F002"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2模组三层的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F003"", ""name"": ""润泽园区A1数据中心M2模组三层"", ""parent_id"": ""P001_A001_M002"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2模组三层301机房的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F003_R001"", ""name"": ""润泽园区A1数据中心M2模组三层301机房"", ""parent_id"": ""P001_A001_M002_F003"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2模组三层302机房的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F003_R002"", ""name"": ""润泽园区A1数据中心M2模组三层302机房"", ""parent_id"": ""P001_A001_M002_F003"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2模组三层电力室A的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F003_R003"", ""name"": ""润泽园区A1数据中心M2模组三层电力室A"", ""parent_id"": ""P001_A001_M002_F003"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2模组三层电力室B的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F003_R004"", ""name"": ""润泽园区A1数据中心M2模组三层电力室B"", ""parent_id"": ""P001_A001_M002_F003"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2模组三层电池室A的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F003_R005"", ""name"": ""润泽园区A1数据中心M2模组三层电池室A"", ""parent_id"": ""P001_A001_M002_F003"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2模组三层电池室B的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F003_R006"", ""name"": ""润泽园区A1数据中心M2模组三层电池室B"", ""parent_id"": ""P001_A001_M002_F003"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2模组三层预留机房的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F003_R007"", ""name"": ""润泽园区A1数据中心M2模组三层预留机房"", ""parent_id"": ""P001_A001_M002_F003"", ""report"": 1, ""life"": 1}"
查询润泽园区A1数据中心M2模组四层的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F004"", ""name"": ""润泽园区A1数据中心M2模组四层"", ""parent_id"": ""P001_A001_M002"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2模组四层401机房的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F004_R001"", ""name"": ""润泽园区A1数据中心M2模组四层401机房"", ""parent_id"": ""P001_A001_M002_F004"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2模组四层402机房的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F004_R002"", ""name"": ""润泽园区A1数据中心M2模组四层402机房"", ""parent_id"": ""P001_A001_M002_F004"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2模组四层电力室A的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F004_R003"", ""name"": ""润泽园区A1数据中心M2模组四层电力室A"", ""parent_id"": ""P001_A001_M002_F004"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2模组四层电力室B的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F004_R004"", ""name"": ""润泽园区A1数据中心M2模组四层电力室B"", ""parent_id"": ""P001_A001_M002_F004"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2模组四层电池室A的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F004_R005"", ""name"": ""润泽园区A1数据中心M2模组四层电池室A"", ""parent_id"": ""P001_A001_M002_F004"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2模组四层电池室B的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F004_R006"", ""name"": ""润泽园区A1数据中心M2模组四层电池室B"", ""parent_id"": ""P001_A001_M002_F004"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2模组四层预留机房的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F004_R007"", ""name"": ""润泽园区A1数据中心M2模组四层预留机房"", ""parent_id"": ""P001_A001_M002_F004"", ""report"": 1, ""life"": 1}"
查询润泽园区A1数据中心M2楼顶的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F005"", ""name"": ""润泽园区A1数据中心M2楼顶"", ""parent_id"": ""P001_A001_M002"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M2楼顶设备间的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M002_F005_R001"", ""name"": ""润泽园区A1数据中心M2楼顶设备间"", ""parent_id"": ""P001_A001_M002_F005"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M3模组的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M003"", ""name"": ""润泽园区A1数据中心M3模组"", ""parent_id"": ""P001_A001"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M3模组一层的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M003_F001"", ""name"": ""润泽园区A1数据中心M3模组一层"", ""parent_id"": ""P001_A001_M003"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M3模组一层电力室A的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M003_F001_R001"", ""name"": ""润泽园区A1数据中心M3模组一层电力室A"", ""parent_id"": ""P001_A001_M003_F001"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M3模组一层电力室B的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M003_F001_R002"", ""name"": ""润泽园区A1数据中心M3模组一层电力室B"", ""parent_id"": ""P001_A001_M003_F001"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M3模组一层101机房的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M003_F001_R003"", ""name"": ""润泽园区A1数据中心M3模组一层101机房"", ""parent_id"": ""P001_A001_M003_F001"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M3模组一层冷冻站的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M003_F001_R004"", ""name"": ""润泽园区A1数据中心M3模组一层冷冻站"", ""parent_id"": ""P001_A001_M003_F001"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M3模组二层的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M003_F002"", ""name"": ""润泽园区A1数据中心M3模组二层"", ""parent_id"": ""P001_A001_M003"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M3模组二层201机房的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M003_F002_R001"", ""name"": ""润泽园区A1数据中心M3模组二层201机房"", ""parent_id"": ""P001_A001_M003_F002"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M3模组二层202机房的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M003_F002_R002"", ""name"": ""润泽园区A1数据中心M3模组二层202机房"", ""parent_id"": ""P001_A001_M003_F002"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M3模组二层电池室B的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M003_F002_R003"", ""name"": ""润泽园区A1数据中心M3模组二层电池室B"", ""parent_id"": ""P001_A001_M003_F002"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M3模组二层电池室A的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M003_F002_R004"", ""name"": ""润泽园区A1数据中心M3模组二层电池室A"", ""parent_id"": ""P001_A001_M003_F002"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M3模组二层电力室A的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M003_F002_R005"", ""name"": ""润泽园区A1数据中心M3模组二层电力室A"", ""parent_id"": ""P001_A001_M003_F002"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M3模组二层电力室B的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M003_F002_R006"", ""name"": ""润泽园区A1数据中心M3模组二层电力室B"", ""parent_id"": ""P001_A001_M003_F002"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M3模组二层核心机房的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M003_F002_R007"", ""name"": ""润泽园区A1数据中心M3模组二层核心机房"", ""parent_id"": ""P001_A001_M003_F002"", ""report"": 1, ""life"": 1}"
查询润泽园区A1数据中心M3模组三层的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M003_F003"", ""name"": ""润泽园区A1数据中心M3模组三层"", ""parent_id"": ""P001_A001_M003"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M3模组三层301机房的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M003_F003_R001"", ""name"": ""润泽园区A1数据中心M3模组三层301机房"", ""parent_id"": ""P001_A001_M003_F003"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M3模组三层302机房的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M003_F003_R002"", ""name"": ""润泽园区A1数据中心M3模组三层302机房"", ""parent_id"": ""P001_A001_M003_F003"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M3模组三层303机房的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M003_F003_R003"", ""name"": ""润泽园区A1数据中心M3模组三层303机房"", ""parent_id"": ""P001_A001_M003_F003"", ""report"": 0, ""life"": 1}"
